Bonds,,Date,XS0204395213,XS1084568762,XS1167308128,XS1048518358,XS0431928760
,,12/2/2020,NA,NA,103.382,NA,NA
,,12/3/2020,NA,NA,103.358,NA,NA
,,12/4/2020,NA,NA,103.309,NA,NA
,,12/7/2020,NA,NA,103.367,NA,NA
,,12/8/2020,NA,NA,103.344,NA,NA
,,12/9/2020,NA,NA,103.303,NA,NA
,,12/10/2020,NA,NA,103.3,NA,NA
,,12/11/2020,NA,NA,103.267,NA,NA
,,12/14/2020,NA,NA,103.3,NA,NA
,,12/15/2020,NA,NA,103.247,NA,NA
,,12/16/2020,NA,NA,103.28,NA,NA
,,12/17/2020,NA,NA,103.215,NA,NA
,,12/18/2020,NA,NA,103.22,NA,NA
,,12/21/2020,NA,NA,103.209,NA,NA
,,12/22/2020,NA,NA,103.187,NA,NA
,,12/23/2020,NA,NA,103.17,NA,NA
,,12/24/2020,NA,NA,103.221,NA,NA
,,12/25/2020,NA,NA,103.223,NA,NA
,,12/28/2020,NA,NA,103.114,NA,NA
,,12/29/2020,NA,NA,103.203,NA,NA
,,12/30/2020,NA,NA,103.231,NA,NA
,,12/31/2020,NA,NA,103.09,NA,NA
,,1/1/2021,NA,NA,103.09,NA,NA
,,1/4/2021,NA,NA,103.093,NA,NA
,,1/5/2021,NA,NA,103.109,NA,NA
,,1/6/2021,NA,NA,103.101,NA,NA
,,1/7/2021,NA,NA,103.05,NA,NA
,,1/8/2021,NA,NA,103.076,NA,NA
,,1/11/2021,NA,NA,103.05,NA,NA
,,1/12/2021,NA,NA,103.045,NA,NA
,,1/13/2021,NA,NA,103.055,NA,NA
,,1/14/2021,NA,NA,103.049,NA,NA
,,1/15/2021,NA,NA,102.998,NA,NA
,,1/18/2021,NA,NA,102.998,NA,NA
,,1/19/2021,NA,NA,102.996,NA,NA
,,1/20/2021,NA,NA,103.019,NA,NA
,,1/21/2021,NA,NA,102.949,NA,NA
,,1/22/2021,NA,NA,102.974,NA,NA
,,1/25/2021,NA,NA,102.961,NA,NA
,,1/26/2021,NA,NA,102.941,NA,NA
,,1/27/2021,NA,NA,102.942,NA,NA
,,1/28/2021,NA,NA,102.877,NA,NA
,,1/29/2021,NA,NA,102.927,NA,NA
,,2/1/2021,NA,NA,102.942,NA,NA
,,2/2/2021,NA,NA,102.898,NA,NA
,,2/3/2021,NA,NA,102.851,NA,NA
,,2/4/2021,NA,NA,102.848,NA,NA
,,2/5/2021,NA,NA,102.844,NA,NA
,,2/8/2021,NA,NA,102.863,NA,NA
,,2/9/2021,NA,NA,102.844,NA,NA
,,2/10/2021,NA,NA,102.834,NA,NA
,,2/11/2021,NA,NA,102.839,NA,NA
,,2/12/2021,NA,NA,102.783,NA,NA
,,2/15/2021,NA,NA,102.786,NA,NA
,,2/16/2021,NA,NA,102.743,NA,NA
,,2/17/2021,NA,NA,102.741,NA,NA
,,2/18/2021,NA,NA,102.737,NA,NA
,,2/19/2021,NA,NA,102.724,NA,NA
,,2/22/2021,NA,NA,102.678,NA,NA
,,2/23/2021,NA,NA,102.67,NA,NA
,,2/24/2021,NA,NA,102.697,NA,NA
,,2/25/2021,NA,NA,102.634,NA,NA
,,2/26/2021,NA,NA,102.61,NA,NA
