Bonds,,Date,DE000A14J587,XS0214238239,DE000A1MA9H4,DE000A1R08U3
,,11/18/2019,102.02,NA,NA,NA
,,11/19/2019,102.03,NA,NA,NA
,,11/20/2019,102.09,NA,NA,NA
,,11/21/2019,100.5,NA,NA,NA
,,11/22/2019,100.1,NA,NA,NA
,,11/25/2019,100.31,NA,NA,NA
,,11/26/2019,100.43,NA,NA,NA
,,11/27/2019,100.44,NA,NA,NA
,,11/28/2019,100.4,NA,NA,NA
,,11/29/2019,100.36,NA,NA,NA
,,12/2/2019,100.34,NA,NA,NA
,,12/3/2019,100.22,NA,NA,NA
,,12/4/2019,100.25,NA,NA,NA
,,12/5/2019,100.25,NA,NA,NA
,,12/6/2019,100.65,NA,NA,NA
,,12/9/2019,100.5,NA,NA,NA
,,12/10/2019,100.62,NA,NA,NA
,,12/11/2019,100.9,NA,NA,NA
,,12/12/2019,101,NA,NA,NA
,,12/13/2019,101.11,NA,NA,NA
,,12/16/2019,101.68,NA,NA,NA
,,12/17/2019,101.6,NA,NA,NA
,,12/18/2019,101.91,NA,NA,NA
,,12/19/2019,101.91,NA,NA,NA
,,12/20/2019,102.17,NA,NA,NA
,,12/23/2019,101.95,NA,NA,NA
,,12/24/2019,101.683,NA,NA,NA
,,12/25/2019,101.709,NA,NA,NA
,,12/26/2019,101.708,NA,NA,NA
,,12/27/2019,101.91,NA,NA,NA
,,12/30/2019,101.864,NA,NA,NA
,,12/31/2019,101.739,NA,NA,NA
,,1/1/2020,101.774,NA,NA,NA
,,1/2/2020,102.22,NA,NA,NA
,,1/3/2020,102.42,NA,NA,NA
,,1/6/2020,101.95,NA,NA,NA
,,1/7/2020,102.36,NA,NA,NA
,,1/8/2020,102.59,NA,NA,NA
,,1/9/2020,102.62,NA,NA,NA
,,1/10/2020,102.7,NA,NA,NA
,,1/13/2020,102.97,NA,NA,NA
,,1/14/2020,103.19,NA,NA,NA
,,1/15/2020,103.01,NA,NA,NA
,,1/16/2020,103.16,NA,NA,NA
,,1/17/2020,103.3,NA,NA,NA
,,1/20/2020,103.18,NA,NA,NA
,,1/21/2020,103.4,NA,NA,NA
,,1/22/2020,103.43,NA,NA,NA
,,1/23/2020,103.48,NA,NA,NA
,,1/24/2020,103.45,NA,NA,NA
,,1/27/2020,102.95,NA,NA,NA
,,1/28/2020,102.95,NA,NA,NA
,,1/29/2020,103.28,NA,NA,NA
,,1/30/2020,103.08,NA,NA,NA
,,1/31/2020,101.4,NA,NA,NA
,,2/3/2020,101.14,NA,NA,NA
,,2/4/2020,101.71,NA,NA,NA
,,2/5/2020,101.81,NA,NA,NA
,,2/6/2020,102,NA,NA,NA
,,2/7/2020,101.85,NA,NA,NA
,,2/10/2020,101.88,NA,NA,NA
,,2/11/2020,101.94,NA,NA,NA
,,2/12/2020,101.81,NA,NA,NA
,,2/13/2020,103.2,NA,NA,NA
,,2/14/2020,103.84,NA,NA,NA
,,2/17/2020,103.12,NA,NA,NA
,,2/18/2020,102.05,NA,NA,NA
,,2/19/2020,100.973,NA,NA,NA
,,2/20/2020,101.4,NA,NA,NA
,,2/21/2020,101.16,NA,NA,NA
,,2/24/2020,99.29,NA,NA,NA
,,2/25/2020,98.862,NA,NA,NA
,,2/26/2020,98.287,NA,NA,NA
,,2/27/2020,97.819,NA,NA,NA
,,2/28/2020,97.341,NA,NA,NA
,,3/2/2020,97.25,NA,NA,NA
,,3/3/2020,98.66,NA,NA,NA
,,3/4/2020,99.72,NA,NA,NA
,,3/5/2020,99.42,NA,NA,NA
,,3/6/2020,97,NA,NA,NA
,,3/9/2020,89.7,NA,NA,NA
,,3/10/2020,92,NA,NA,NA
,,3/11/2020,91,NA,NA,NA
,,3/12/2020,84.2,NA,NA,NA
,,3/13/2020,84.25,NA,NA,NA
,,3/16/2020,83.9,NA,NA,NA
,,3/17/2020,77.1,NA,NA,NA
,,3/18/2020,78.125,NA,NA,NA
,,3/19/2020,70.5,NA,NA,NA
,,3/20/2020,76,NA,NA,NA
,,3/23/2020,73.75,NA,NA,NA
,,3/24/2020,77.125,NA,NA,NA
,,3/25/2020,83.875,NA,NA,NA
,,3/26/2020,85.125,NA,NA,NA
,,3/27/2020,85.625,NA,NA,NA
,,3/30/2020,84.86,NA,NA,NA
,,3/31/2020,86.125,NA,NA,NA
,,4/1/2020,86,NA,NA,NA
,,4/2/2020,87.951,NA,NA,NA
,,4/3/2020,86.125,NA,NA,NA
,,4/6/2020,86.625,NA,NA,NA
,,4/7/2020,89.875,NA,NA,NA
,,4/8/2020,91,NA,NA,NA
,,4/9/2020,95.66,NA,NA,NA
,,4/10/2020,93.75,NA,NA,NA
,,4/13/2020,93.75,NA,NA,NA
,,4/14/2020,96.7,NA,NA,NA
,,4/15/2020,95.15,NA,NA,NA
,,4/16/2020,93.72,NA,NA,NA
,,4/17/2020,94,NA,NA,NA
,,4/20/2020,93.903,NA,NA,NA
,,4/21/2020,91.708,NA,NA,NA
,,4/22/2020,91.3,NA,NA,NA
,,4/23/2020,92.55,NA,NA,NA
